ID,Academic Background,Major,Interests,Skills,Job Position,Salary (SAR/month),Certifications,Tools,Job Description,Suggested Learning Path
2834,Design,Animation,"Motion Graphics, Branding, Illustration","Wireframing, 3D Animation, Product Prototyping, Figma",UI/UX Designer,13125 - 37500 SAR,"Adobe Certified Expert, None","Canva, Affinity Designer, Procreate","Creates user-friendly interfaces with a focus on bilingual (Arabic-English) design, accessibility, and cultural preferences. Works with Saudi fintech, healthcare, and retail industries.","User Research Methods, Design Systems & Prototyping, Figma & Adobe XD Mastery"
2835,Design,Animation,"Branding, Motion Graphics, Illustration","Typography, Graphic Design, Wireframing, Illustrator",Motion Graphics Designer,13125 - 37500 SAR,"Adobe After Effects Certification, Motion Graphics Pro","CorelDRAW, ZBrush, Figma","Produces animated content for advertising agencies, entertainment companies, and digital media projects in Saudi Arabia.",General Career Development
2836,Technology,AI & Robotics,"Machine Learning, Data Science, Blockchain","React, Blockchain, TensorFlow, API Development",Data Scientist,15000 - 45000 SAR,"Google Data Analytics Certificate, AWS Data Analytics","Oracle Cloud, Google Cloud, Apache Spark","Analyzes large datasets relevant to Saudi Arabia's industries such as oil and gas, banking, and retail. Develops AI-driven insights to improve business decisions and customer experiences.","Machine Learning with Python, Deep Learning Specialization, Big Data Analytics"
2837,Business,Human Resources,"Business Strategy, Entrepreneurship, Consulting","Supply Chain Management, SEO, Negotiation, Excel",Strategy Consultant,16875 - 45000 SAR,"Six Sigma Black Belt, None","Hootsuite, Asana, Microsoft Power BI","Provides expert advice to businesses entering the Saudi market, focusing on regulatory compliance, market expansion, and financial strategies.","Business Strategy & Competitive Analysis, Financial Modeling, Market Research & Consulting"
2838,Design,Animation,"Branding, UI/UX, Illustration","Brand Identity, 3D Animation, Blender, Typography",UI/UX Designer,18750 - 52500 SAR,"None, Google UX Design Certificate","Canva, Adobe XD, CorelDRAW","Creates user-friendly interfaces with a focus on bilingual (Arabic-English) design, accessibility, and cultural preferences. Works with Saudi fintech, healthcare, and retail industries.","User Research Methods, Design Systems & Prototyping, Figma & Adobe XD Mastery"
2839,Design,UI/UX,"Illustration, Branding, 3D Design","Wireframing, Cinema 4D, Brand Identity, After Effects",Motion Graphics Designer,18750 - 52500 SAR,"Adobe After Effects Certification, Motion Graphics Pro","CorelDRAW, Blender, ZBrush","Produces animated content for advertising agencies, entertainment companies, and digital media projects in Saudi Arabia.",General Career Development
2840,Design,Animation,"Motion Graphics, 3D Design, UI/UX","Typography, Motion Graphics, UI/UX Research, Brand Identity",Motion Graphics Designer,16875 - 45000 SAR,"Adobe After Effects Certification, None","Adobe XD, Sketch, Canva","Produces animated content for advertising agencies, entertainment companies, and digital media projects in Saudi Arabia.",General Career Development
2841,Technology,AI & Robotics,"Machine Learning, Cloud Computing, Web Development","Data Analysis, Java, Cybersecurity, Blockchain",Frontend Developer,18750 - 56250 SAR,"Certified JavaScript Developer, Google Mobile Web Specialist","Oracle Cloud, Docker, Apache Spark","Designs and builds user-friendly interfaces in Arabic and English, ensuring accessibility and responsiveness for Saudi-based web platforms and mobile applications.","JavaScript Mastery, React.js Development, Web Performance Optimization"
2842,Design,Graphic Design,"3D Design, Illustration, UI/UX","Wireframing, Motion Graphics, Sketch, Typography",3D Artist,13125 - 37500 SAR,"Blender Certification, 3D Animation Certificate","Adobe XD, Cinema 4D, Canva","Designs 3D assets for gaming, architectural visualization, and media production in Saudi Arabia, using tools like Blender and Cinema 4D.",General Career Development
2843,Business,Human Resources,"Digital Marketing, Consulting, Sales","Social Media Marketing, E-commerce, Negotiation, Financial Analysis",HR Specialist,22500 - 60000 SAR,"None, PMP","Asana, Google Analytics, Oracle ERP","Manages recruitment and employee relations for Saudi-based companies, ensuring compliance with labor laws and Saudization policies.","HR Analytics & People Management, Recruitment & Talent Acquisition, Employee Engagement"
2844,Business,Human Resources,"Digital Marketing, Consulting, Entrepreneurship","Excel, Social Media Marketing, Financial Analysis, Project Management",Sales Manager,16875 - 45000 SAR,"Salesforce Certification, None","Trello, Hootsuite, Asana","Leads sales teams for multinational and local businesses in Saudi Arabia, develops partnerships, and drives revenue growth.","Advanced Negotiation Skills, CRM & Sales Automation, B2B Marketing Strategies"
2845,Technology,Cyber Security,"Data Science, Cloud Computing, Machine Learning","Cloud Computing, Kubernetes, iOS Development, TensorFlow",Cybersecurity Analyst,26250 - 67500 SAR,"None, Certified Ethical Hacker (CEH)","MATLAB, TensorFlow, GitHub","Monitors security threats, ensures compliance with Saudi Arabian cybersecurity regulations (such as NCA standards), and protects critical infrastructure.","Ethical Hacking Certification, Network Security Fundamentals, Incident Response Training"
2846,Business,Human Resources,"Business Strategy, Digital Marketing, Consulting","Supply Chain Management, Market Research, Negotiation, Google Analytics",Sales Manager,20625 - 56250 SAR,"None, Salesforce Certification","Microsoft Power BI, HubSpot, Monday.com","Leads sales teams for multinational and local businesses in Saudi Arabia, develops partnerships, and drives revenue growth.","Advanced Negotiation Skills, CRM & Sales Automation, B2B Marketing Strategies"
2847,Technology,Data Science,"Data Science, Machine Learning, Cloud Computing","Swift, Machine Learning, C++, Blockchain",Software Engineer,18750 - 56250 SAR,"Microsoft Azure Developer, AWS Certified","GitHub, Apache Spark, Docker","Develops software applications tailored to the Saudi market, ensuring compliance with local business regulations and user needs. Works on web and mobile applications for fintech, government, and e-commerce platforms.","Advanced Python Programming, Full-Stack Web Development, Software Architecture"
2848,Technology,AI & Robotics,"Machine Learning, App Development, Blockchain","Swift, SQL, React, Blockchain",Cloud Architect,18750 - 56250 SAR,"Google Cloud Architect, None","Tableau, Power BI, TensorFlow","Designs and manages cloud solutions for large enterprises, government entities, and startups in Saudi Arabia, focusing on compliance with local data security laws.","AWS Certified Solutions Architect, Google Cloud Platform Training, Azure Cloud Security"
2849,Design,Animation,"Illustration, Motion Graphics, 3D Design","Sketch, After Effects, UI/UX Research, 3D Animation",UX Engineer,16875 - 45000 SAR,None,"Adobe XD, Procreate, Affinity Designer","Combines user experience design principles with front-end development, focusing on creating interactive and accessible digital experiences.",General Career Development
2850,Business,Project Management,"Sales, Business Strategy, Consulting","SEO, E-commerce, Presentation Skills, Advertising",Fintech Business Analyst,16875 - 45000 SAR,"None, Fintech & Blockchain Certification","Asana, Monday.com, Slack",Bridges finance and technology by working with developers to optimize fintech solutions and ensure regulatory compliance.,"Blockchain & Cryptocurrency Fundamentals, AI in Financial Services, RegTech & Compliance"
2851,Business,Finance,"Sales, Consulting, Entrepreneurship","Market Research, Presentation Skills, E-commerce, Google Analytics",Data Analyst,16875 - 45000 SAR,"None, Google Data Analytics Certificate","SAP, HubSpot, Trello","Extracts insights from large datasets using Python, SQL, and visualization tools to support business decisions.","SQL for Data Science, Google Data Analytics Certificate, Power BI & Tableau"
2852,Design,Animation,"Motion Graphics, 3D Design, Illustration","Motion Graphics, Illustrator, Brand Identity, 3D Animation",3D Artist,18750 - 52500 SAR,"3D Animation Certificate, None","Blender, ZBrush, Affinity Designer","Designs 3D assets for gaming, architectural visualization, and media production in Saudi Arabia, using tools like Blender and Cinema 4D.",General Career Development
2853,Design,Graphic Design,"3D Design, Motion Graphics, UI/UX","After Effects, Brand Identity, Sketch, Graphic Design",UI/UX Designer,18750 - 52500 SAR,"None, Adobe Certified Expert","Canva, Figma, CorelDRAW","Creates user-friendly interfaces with a focus on bilingual (Arabic-English) design, accessibility, and cultural preferences. Works with Saudi fintech, healthcare, and retail industries.","User Research Methods, Design Systems & Prototyping, Figma & Adobe XD Mastery"
2854,Business,Marketing,"Entrepreneurship, Consulting, Business Strategy","SEO, Social Media Marketing, Excel, Supply Chain Management",Data Analyst,20625 - 56250 SAR,"Python for Data Analysis, None","Slack, Google Analytics, Hootsuite","Extracts insights from large datasets using Python, SQL, and visualization tools to support business decisions.","SQL for Data Science, Google Data Analytics Certificate, Power BI & Tableau"
2855,Technology,AI & Robotics,"Blockchain, Machine Learning, App Development","Data Analysis, Kubernetes, Android Development, React",Cloud Architect,15000 - 45000 SAR,"None, Google Cloud Architect","Docker, Google Cloud, Jupyter Notebook","Designs and manages cloud solutions for large enterprises, government entities, and startups in Saudi Arabia, focusing on compliance with local data security laws.","AWS Certified Solutions Architect, Google Cloud Platform Training, Azure Cloud Security"
2856,Business,Human Resources,"Sales, Business Strategy, Digital Marketing","SEO, Financial Analysis, E-commerce, Supply Chain Management",Strategy Consultant,22500 - 60000 SAR,"Certified Strategy Consultant, Six Sigma Black Belt","HubSpot, Microsoft Power BI, Asana","Provides expert advice to businesses entering the Saudi market, focusing on regulatory compliance, market expansion, and financial strategies.","Business Strategy & Competitive Analysis, Financial Modeling, Market Research & Consulting"
2857,Technology,Cyber Security,"Data Science, Machine Learning, Blockchain","C++, AWS, Blockchain, TensorFlow",Software Engineer,15000 - 45000 SAR,"Microsoft Azure Developer, AWS Certified","Oracle Cloud, Power BI, Arduino","Develops software applications tailored to the Saudi market, ensuring compliance with local business regulations and user needs. Works on web and mobile applications for fintech, government, and e-commerce platforms.","Advanced Python Programming, Full-Stack Web Development, Software Architecture"
